image,class
dataset/dad/z37iAndalus_18 size.jpg,dad
dataset/dad/z37Typesetting_13 size.jpg,dad
dataset/dad/z37Typesetting_21 size.jpg,dad
dataset/dad/z37Unicode_13 size.jpg,dad
dataset/dad/z38iAndalus_18 size.jpg,dad
dataset/dad/z38Typesetting_13 size.jpg,dad
dataset/dad/z38Unicode_13 size.jpg,dad
dataset/dad/z38Unicode_14 size.jpg,dad
dataset/dad/z39iAndalus_18 size.jpg,dad
dataset/dad/z39Typesetting_13 size.jpg,dad
dataset/dad/z39Unicode_13 size.jpg,dad
dataset/dad/z39Unicode_14 size.jpg,dad
dataset/dad/z40iAndalus_18 size.jpg,dad
dataset/dad/z41iAndalus_17 size.jpg,dad
dataset/dad/z41Typesetting_20 size.jpg,dad
dataset/dad/z41Unicode_14 size.jpg,dad
dataset/dad/z42iAndalus_17 size.jpg,dad
dataset/dad/z42Typesetting_20 size.jpg,dad
dataset/dad/z43iAndalus_17 size.jpg,dad
dataset/dad/z43iAndalus_29 size.jpg,dad
dataset/dad/z43Typesetting_20 size.jpg,dad
dataset/dad/z43Typesetting_34 size.jpg,dad
dataset/dad/z44iAndalus_17 size.jpg,dad
dataset/dad/z44iAndalus_29 size.jpg,dad
dataset/dad/z44Typesetting_12 size.jpg,dad
dataset/dad/z44Typesetting_19 size.jpg,dad
dataset/dad/z45iAndalus_28 size.jpg,dad
dataset/dad/z45Typesetting_12 size.jpg,dad
dataset/dad/z45Typesetting_19 size.jpg,dad
dataset/dad/z45Typesetting_33 size.jpg,dad
dataset/dad/z45Unicode_21 size.jpg,dad
dataset/dad/z46iAndalus_28 size.jpg,dad
dataset/dad/z46Typesetting_12 size.jpg,dad
dataset/dad/z46Typesetting_19 size.jpg,dad
dataset/dad/z46Typesetting_32 size.jpg,dad
dataset/dad/z46Typesetting_33 size.jpg,dad
dataset/dad/z46Unicode_20 size.jpg,dad
dataset/dad/z47iAndalus_27 size.jpg,dad
dataset/dad/z47iAndalus_28 size.jpg,dad
dataset/dad/z47Typesetting_19 size.jpg,dad
dataset/dad/z47Typesetting_32 size.jpg,dad
dataset/dad/z47Typesetting_33 size.jpg,dad
dataset/dad/z47Unicode_20 size.jpg,dad
dataset/dad/z48iAndalus_27 size.jpg,dad
dataset/dad/z48iAndalus_28 size.jpg,dad
dataset/dad/z48Typesetting_12 size.jpg,dad
dataset/dad/z48Typesetting_32 size.jpg,dad
dataset/dad/z48Unicode_20 size.jpg,dad
dataset/dad/z49iAndalus_16 size.jpg,dad
dataset/dad/z49iAndalus_27 size.jpg,dad
dataset/dad/z49Typesetting_31 size.jpg,dad
dataset/dad/z49Typesetting_32 size.jpg,dad
dataset/dad/z49Unicode_27 size.jpg,dad
dataset/dad/z49Unicode_28 size.jpg,dad
dataset/dad/z50iAndalus_16 size.jpg,dad
dataset/dad/z50iAndalus_26 size.jpg,dad
dataset/dad/z50iAndalus_27 size.jpg,dad
dataset/dad/z50Typesetting_18 size.jpg,dad
dataset/dad/z50Typesetting_31 size.jpg,dad
dataset/dad/z50Unicode_19 size.jpg,dad
dataset/dad/z50Unicode_27 size.jpg,dad
dataset/dad/z51iAndalus_16 size.jpg,dad
dataset/dad/z51iAndalus_26 size.jpg,dad
dataset/dad/z51iAndalus_36 size.jpg,dad
dataset/dad/z51Typesetting_18 size.jpg,dad
dataset/dad/z51Typesetting_30 size.jpg,dad
dataset/dad/z51Typesetting_31 size.jpg,dad
dataset/dad/z51Unicode_19 size.jpg,dad
dataset/dad/z51Unicode_26 size.jpg,dad
dataset/dad/z52iAndalus_16 size.jpg,dad
dataset/dad/z52iAndalus_26 size.jpg,dad
dataset/dad/z52iAndalus_36 size.jpg,dad
dataset/dad/z52Typesetting_18 size.jpg,dad
dataset/dad/z52Typesetting_30 size.jpg,dad
dataset/dad/z52Typesetting_31 size.jpg,dad
dataset/dad/z52Unicode_19 size.jpg,dad
dataset/dad/z52Unicode_26 size.jpg,dad
dataset/dad/z53iAndalus_26 size.jpg,dad
dataset/dad/z53iAndalus_35 size.jpg,dad
dataset/dad/z53iAndalus_36 size.jpg,dad
dataset/dad/z53Typesetting_18 size.jpg,dad
dataset/dad/z53Typesetting_30 size.jpg,dad
dataset/dad/z53Unicode_19 size.jpg,dad
dataset/dad/z53Unicode_26 size.jpg,dad
dataset/dad/z54iAndalus_35 size.jpg,dad
dataset/dad/z54iAndalus_36 size.jpg,dad
dataset/dad/z54Typesetting_29 size.jpg,dad
dataset/dad/z54Typesetting_30 size.jpg,dad
dataset/dad/z54Unicode_26 size.jpg,dad
dataset/dad/z55iAndalus_25 size.jpg,dad
dataset/dad/z55iAndalus_35 size.jpg,dad
dataset/dad/z55Typesetting_29 size.jpg,dad
dataset/dad/z55Typesetting_40 size.jpg,dad
dataset/dad/z55Unicode_18 size.jpg,dad
dataset/dad/z56iAndalus_25 size.jpg,dad
dataset/dad/z56iAndalus_35 size.jpg,dad
dataset/dad/z56Typesetting_29 size.jpg,dad
dataset/dad/z56Typesetting_40 size.jpg,dad
dataset/dad/z56Unicode_18 size.jpg,dad
dataset/dad/z57iAndalus_25 size.jpg,dad
dataset/dad/z57Typesetting_28 size.jpg,dad
dataset/dad/z57Typesetting_29 size.jpg,dad
dataset/dad/z57Typesetting_39 size.jpg,dad
dataset/dad/z57Typesetting_40 size.jpg,dad
dataset/dad/z57Unicode_18 size.jpg,dad
dataset/dad/z58iAndalus_15 size.jpg,dad
dataset/dad/z58iAndalus_24 size.jpg,dad
dataset/dad/z58iAndalus_25 size.jpg,dad
dataset/dad/z58Typesetting_28 size.jpg,dad
dataset/dad/z58Typesetting_39 size.jpg,dad
dataset/dad/z58Typesetting_40 size.jpg,dad
dataset/dad/z58Unicode_18 size.jpg,dad
dataset/dad/z59iAndalus_15 size.jpg,dad
dataset/dad/z59iAndalus_24 size.jpg,dad
dataset/dad/z59Typesetting_17 size.jpg,dad
dataset/dad/z59Typesetting_28 size.jpg,dad
dataset/dad/z59Typesetting_39 size.jpg,dad
dataset/dad/z59Unicode_24 size.jpg,dad
dataset/dad/z59Unicode_25 size.jpg,dad
dataset/dad/z60iAndalus_15 size.jpg,dad
dataset/dad/z60iAndalus_24 size.jpg,dad
dataset/dad/z60iAndalus_33 size.jpg,dad
dataset/dad/z60iAndalus_34 size.jpg,dad
dataset/dad/z60Typesetting_17 size.jpg,dad
dataset/dad/z60Typesetting_28 size.jpg,dad
dataset/dad/z60Typesetting_38 size.jpg,dad
dataset/dad/z60Typesetting_39 size.jpg,dad
dataset/dad/z60Unicode_17 size.jpg,dad
dataset/dad/z60Unicode_24 size.jpg,dad
dataset/dad/z60Unicode_25 size.jpg,dad
dataset/dad/z61iAndalus_15 size.jpg,dad
dataset/dad/z61iAndalus_24 size.jpg,dad
dataset/dad/z61iAndalus_33 size.jpg,dad
dataset/dad/z61iAndalus_34 size.jpg,dad
dataset/dad/z61Typesetting_17 size.jpg,dad
dataset/dad/z61Typesetting_38 size.jpg,dad
dataset/dad/z61Unicode_17 size.jpg,dad
dataset/dad/z61Unicode_24 size.jpg,dad
dataset/dad/z61Unicode_25 size.jpg,dad
dataset/dad/z62iAndalus_33 size.jpg,dad
dataset/dad/z62iAndalus_34 size.jpg,dad
dataset/dad/z62Typesetting_17 size.jpg,dad
dataset/dad/z62Typesetting_27 size.jpg,dad
dataset/dad/z62Typesetting_38 size.jpg,dad
dataset/dad/z62Unicode_17 size.jpg,dad
dataset/dad/z62Unicode_24 size.jpg,dad
dataset/dad/z62Unicode_25 size.jpg,dad
dataset/dad/z63iAndalus_33 size.jpg,dad
dataset/dad/z63iAndalus_34 size.jpg,dad
dataset/dad/z63Typesetting_27 size.jpg,dad
dataset/dad/z63Typesetting_38 size.jpg,dad
dataset/dad/z63Unicode_17 size.jpg,dad
dataset/dad/z63Unicode_23 size.jpg,dad
dataset/dad/z64Typesetting_27 size.jpg,dad
dataset/dad/z65iAndalus_14 size.jpg,dad
dataset/dad/z65Typesetting_27 size.jpg,dad
dataset/dad/z65Typesetting_36 size.jpg,dad
dataset/dad/z65Typesetting_37 size.jpg,dad
dataset/dad/z65Unicode_23 size.jpg,dad
dataset/dad/z65Unicode_29 size.jpg,dad
dataset/dad/z65Unicode_30 size.jpg,dad
dataset/dad/z66iAndalus_23 size.jpg,dad
dataset/dad/z66iAndalus_32 size.jpg,dad
dataset/dad/z66Typesetting_36 size.jpg,dad
dataset/dad/z66Typesetting_37 size.jpg,dad
dataset/dad/z66Unicode_23 size.jpg,dad
dataset/dad/z66Unicode_29 size.jpg,dad
dataset/dad/z66Unicode_30 size.jpg,dad
dataset/dad/z67iAndalus_14 size.jpg,dad
dataset/dad/z67iAndalus_23 size.jpg,dad
dataset/dad/z67iAndalus_32 size.jpg,dad
dataset/dad/z67Typesetting_16 size.jpg,dad
dataset/dad/z67Typesetting_36 size.jpg,dad
dataset/dad/z67Typesetting_37 size.jpg,dad
dataset/dad/z67Unicode_16 size.jpg,dad
dataset/dad/z67Unicode_22 size.jpg,dad
dataset/dad/z67Unicode_29 size.jpg,dad
dataset/dad/z67Unicode_30 size.jpg,dad
dataset/dad/z68iAndalus_23 size.jpg,dad
dataset/dad/z68iAndalus_32 size.jpg,dad
dataset/dad/z68Typesetting_16 size.jpg,dad
dataset/dad/z68Typesetting_36 size.jpg,dad
dataset/dad/z68Typesetting_37 size.jpg,dad
dataset/dad/z68Unicode_16 size.jpg,dad
dataset/dad/z68Unicode_22 size.jpg,dad
dataset/dad/z68Unicode_28 size.jpg,dad
dataset/dad/z68Unicode_29 size.jpg,dad
dataset/dad/z68Unicode_30 size.jpg,dad
dataset/dad/z69iAndalus_23 size.jpg,dad
dataset/dad/z69iAndalus_31 size.jpg,dad
dataset/dad/z69iAndalus_32 size.jpg,dad
dataset/dad/z69Typesetting_16 size.jpg,dad
dataset/dad/z69Unicode_16 size.jpg,dad
dataset/dad/z69Unicode_22 size.jpg,dad
dataset/dad/z69Unicode_28 size.jpg,dad
dataset/dad/z70iAndalus_22 size.jpg,dad
dataset/dad/z70iAndalus_31 size.jpg,dad
dataset/dad/z70Typesetting_16 size.jpg,dad
dataset/dad/z70Unicode_16 size.jpg,dad
dataset/dad/z70Unicode_22 size.jpg,dad
dataset/dad/z70Unicode_27 size.jpg,dad
dataset/dad/z70Unicode_28 size.jpg,dad
dataset/dad/z71iAndalus_22 size.jpg,dad
dataset/dad/z71iAndalus_31 size.jpg,dad
dataset/dad/z71Typesetting_35 size.jpg,dad
dataset/dad/z71Unicode_27 size.jpg,dad
dataset/dad/z72iAndalus_22 size.jpg,dad
dataset/dad/z72iAndalus_31 size.jpg,dad
dataset/dad/z72Typesetting_25 size.jpg,dad
dataset/dad/z72Typesetting_26 size.jpg,dad
dataset/dad/z72Typesetting_35 size.jpg,dad
dataset/dad/z73iAndalus_22 size.jpg,dad
dataset/dad/z73Typesetting_15 size.jpg,dad
dataset/dad/z73Typesetting_25 size.jpg,dad
dataset/dad/z73Typesetting_26 size.jpg,dad
dataset/dad/z73Typesetting_35 size.jpg,dad
dataset/dad/z73Unicode_15 size.jpg,dad
dataset/dad/z73Unicode_21 size.jpg,dad
dataset/dad/z74Typesetting_15 size.jpg,dad
dataset/dad/z74Typesetting_25 size.jpg,dad
dataset/dad/z74Typesetting_26 size.jpg,dad
dataset/dad/z74Typesetting_34 size.jpg,dad
dataset/dad/z74Typesetting_35 size.jpg,dad
dataset/dad/z74Unicode_15 size.jpg,dad
dataset/dad/z74Unicode_21 size.jpg,dad
dataset/dad/z75iAndalus_21 size.jpg,dad
dataset/dad/z75Typesetting_15 size.jpg,dad
dataset/dad/z75Typesetting_25 size.jpg,dad
dataset/dad/z75Typesetting_26 size.jpg,dad
dataset/dad/z75Typesetting_34 size.jpg,dad
dataset/dad/z75Unicode_15 size.jpg,dad
dataset/dad/z75Unicode_21 size.jpg,dad
dataset/dad/z76iAndalus_21 size.jpg,dad
dataset/dad/z76Typesetting_15 size.jpg,dad
dataset/dad/z76Typesetting_34 size.jpg,dad
dataset/dad/z76Unicode_15 size.jpg,dad
dataset/dad/z77iAndalus_21 size.jpg,dad
dataset/dad/z77iAndalus_29 size.jpg,dad
dataset/dad/z78iAndalus_21 size.jpg,dad
dataset/dad/z78iAndalus_29 size.jpg,dad
dataset/dad/z78Typesetting_24 size.jpg,dad
dataset/dad/z78Unicode_20 size.jpg,dad
dataset/dad/z79Typesetting_24 size.jpg,dad
dataset/dad/z80Typesetting_24 size.jpg,dad
dataset/dad/z80Typesetting_33 size.jpg,dad
dataset/dad/z81Typesetting_24 size.jpg,dad
dataset/dad/z84iAndalus_20 size.jpg,dad
dataset/dad/z84Typesetting_23 size.jpg,dad
dataset/dad/z85iAndalus_20 size.jpg,dad
dataset/dad/z85Typesetting_14 size.jpg,dad
dataset/dad/z85Typesetting_23 size.jpg,dad
dataset/dad/z86iAndalus_20 size.jpg,dad
dataset/dad/z86Typesetting_14 size.jpg,dad
dataset/dad/z86Typesetting_23 size.jpg,dad
dataset/dad/z87Typesetting_14 size.jpg,dad
dataset/dad/z87Typesetting_22 size.jpg,dad
dataset/dad/z88Typesetting_14 size.jpg,dad
dataset/dad/z88Typesetting_22 size.jpg,dad
dataset/dad/z89iAndalus_19 size.jpg,dad
dataset/dad/z94Typesetting_13 size.jpg,dad
dataset/dad/z95Typesetting_13 size.jpg,dad
dataset/dad/z96Typesetting_13 size.jpg,dad
dataset/dad/z97Typesetting_13 size.jpg,dad
dataset/dal/iAndalus_30 size28.jpg,dal
dataset/dal/iAndalus_30 size29.jpg,dal
dataset/dal/iAndalus_30 size30.jpg,dal
dataset/dal/iAndalus_30 size31.jpg,dal
dataset/dal/iAndalus_37 size17.jpg,dal
dataset/dal/iAndalus_37 size18.jpg,dal
dataset/dal/iAndalus_37 size19.jpg,dal
dataset/dal/iAndalus_37 size48.jpg,dal
dataset/dal/iAndalus_38 size17.jpg,dal
dataset/dal/iAndalus_38 size18.jpg,dal
dataset/dal/iAndalus_38 size19.jpg,dal
dataset/dal/iAndalus_38 size48.jpg,dal
dataset/dal/iAndalus_39 size17.jpg,dal
dataset/dal/iAndalus_39 size18.jpg,dal
dataset/dal/iAndalus_39 size45.jpg,dal
dataset/dal/iAndalus_39 size46.jpg,dal
dataset/dal/iArial_12 size10.jpg,dal
dataset/dal/iArial_12 size11.jpg,dal
dataset/dal/iArial_12 size12.jpg,dal
dataset/dal/iArial_12 size13.jpg,dal
dataset/dal/iArial_13 size10.jpg,dal
dataset/dal/iArial_13 size7.jpg,dal
dataset/dal/iArial_13 size8.jpg,dal
dataset/dal/iArial_13 size9.jpg,dal
dataset/dal/iArial_14 size4.jpg,dal
dataset/dal/iArial_14 size5.jpg,dal
dataset/dal/iArial_14 size6.jpg,dal
dataset/dal/iArial_14 size7.jpg,dal
dataset/dal/iArial_15 size1.jpg,dal
dataset/dal/iArial_15 size2.jpg,dal
dataset/dal/iArial_15 size3.jpg,dal
dataset/dal/iArial_15 size4.jpg,dal
dataset/dal/iArial_16 size0.jpg,dal
dataset/dal/iArial_16 size1.jpg,dal
dataset/dal/iArial_16 size58.jpg,dal
dataset/dal/iArial_16 size59.jpg,dal
dataset/dal/iArial_17 size52.jpg,dal
dataset/dal/iArial_17 size53.jpg,dal
dataset/dal/iArial_17 size54.jpg,dal
dataset/dal/iArial_17 size55.jpg,dal
dataset/dal/iArial_18 size49.jpg,dal
dataset/dal/iArial_18 size50.jpg,dal
dataset/dal/iArial_18 size51.jpg,dal
dataset/dal/iArial_18 size52.jpg,dal
dataset/dal/iArial_19 size46.jpg,dal
dataset/dal/iArial_19 size47.jpg,dal
dataset/dal/iArial_19 size48.jpg,dal
dataset/dal/iArial_19 size49.jpg,dal
dataset/dal/iArial_20 size42.jpg,dal
dataset/dal/iArial_20 size43.jpg,dal
dataset/dal/iArial_20 size44.jpg,dal
dataset/dal/iArial_20 size45.jpg,dal
dataset/dal/iArial_21 size39.jpg,dal
dataset/dal/iArial_21 size40.jpg,dal
dataset/dal/iArial_21 size41.jpg,dal
dataset/dal/iArial_21 size42.jpg,dal
dataset/dal/iArial_22 size36.jpg,dal
dataset/dal/iArial_22 size37.jpg,dal
dataset/dal/iArial_22 size38.jpg,dal
dataset/dal/iArial_22 size39.jpg,dal
dataset/dal/iArial_23 size35.jpg,dal
dataset/dal/iArial_23 size36.jpg,dal
dataset/dal/iArial_23 size37.jpg,dal
dataset/dal/iArial_23 size38.jpg,dal
dataset/dal/iArial_24 size32.jpg,dal
dataset/dal/iArial_24 size33.jpg,dal
dataset/dal/iArial_24 size34.jpg,dal
dataset/dal/iArial_24 size35.jpg,dal
dataset/dal/iArial_25 size29.jpg,dal
dataset/dal/iArial_25 size30.jpg,dal
dataset/dal/iArial_25 size31.jpg,dal
dataset/dal/iArial_25 size32.jpg,dal
dataset/dal/iArial_26 size26.jpg,dal
dataset/dal/iArial_26 size27.jpg,dal
dataset/dal/iArial_26 size28.jpg,dal
dataset/dal/iArial_26 size29.jpg,dal
dataset/dal/iArial_27 size25.jpg,dal
dataset/dal/iArial_27 size26.jpg,dal
dataset/dal/iArial_27 size27.jpg,dal
dataset/dal/iArial_27 size28.jpg,dal
dataset/dal/iArial_28 size22.jpg,dal
dataset/dal/iArial_28 size23.jpg,dal
dataset/dal/iArial_28 size24.jpg,dal
dataset/dal/iArial_28 size25.jpg,dal
dataset/dal/iArial_29 size20.jpg,dal
dataset/dal/iArial_29 size21.jpg,dal
dataset/dal/iArial_29 size22.jpg,dal
dataset/dal/iArial_29 size23.jpg,dal
dataset/dal/iArial_30 size19.jpg,dal
dataset/dal/iArial_30 size20.jpg,dal
dataset/dal/iArial_30 size21.jpg,dal
dataset/dal/iArial_30 size22.jpg,dal
dataset/dal/iArial_31 size17.jpg,dal
dataset/dal/iArial_31 size18.jpg,dal
dataset/dal/iArial_31 size47.jpg,dal
dataset/dal/iArial_31 size48.jpg,dal
dataset/dal/iArial_32 size17.jpg,dal
dataset/dal/iArial_32 size18.jpg,dal
dataset/dal/iArial_32 size47.jpg,dal
dataset/dal/iArial_32 size48.jpg,dal
dataset/dal/iArial_34 size41.jpg,dal
dataset/dal/iArial_34 size42.jpg,dal
dataset/dal/iArial_34 size43.jpg,dal
dataset/dal/iArial_34 size44.jpg,dal
dataset/dal/iArial_35 size40.jpg,dal
dataset/dal/iArial_35 size41.jpg,dal
dataset/dal/iArial_35 size42.jpg,dal
dataset/dal/iArial_35 size43.jpg,dal
dataset/dal/iArial_38 size33.jpg,dal
dataset/dal/iArial_38 size34.jpg,dal
dataset/dal/iArial_38 size35.jpg,dal
dataset/dal/iArial_38 size36.jpg,dal
dataset/dal/iArial_39 size32.jpg,dal
dataset/dal/iArial_39 size33.jpg,dal
dataset/dal/iArial_39 size34.jpg,dal
dataset/dal/iArial_39 size35.jpg,dal
dataset/dal/iArial_40 size30.jpg,dal
dataset/dal/iArial_40 size31.jpg,dal
dataset/dal/iArial_40 size32.jpg,dal
dataset/dal/iArial_40 size33.jpg,dal
dataset/dal/iCalibri_12 size16.jpg,dal
dataset/dal/iCalibri_12 size17.jpg,dal
dataset/dal/iCalibri_12 size18.jpg,dal
dataset/dal/iCalibri_12 size19.jpg,dal
dataset/dal/iCalibri_13 size13.jpg,dal
dataset/dal/iCalibri_13 size14.jpg,dal
dataset/dal/iCalibri_13 size15.jpg,dal
dataset/dal/iCalibri_13 size16.jpg,dal
dataset/dal/iCalibri_14 size10.jpg,dal
dataset/dal/iCalibri_14 size11.jpg,dal
dataset/dal/iCalibri_14 size12.jpg,dal
dataset/dal/iCalibri_14 size13.jpg,dal
dataset/dal/iCalibri_15 size10.jpg,dal
dataset/dal/iCalibri_15 size7.jpg,dal
dataset/dal/iCalibri_15 size8.jpg,dal
dataset/dal/iCalibri_15 size9.jpg,dal
dataset/dal/iCalibri_16 size4.jpg,dal
dataset/dal/iCalibri_16 size5.jpg,dal
dataset/dal/iCalibri_16 size6.jpg,dal
dataset/dal/iCalibri_16 size7.jpg,dal
dataset/dal/iCalibri_17 size1.jpg,dal
dataset/dal/iCalibri_17 size2.jpg,dal
dataset/dal/iCalibri_17 size3.jpg,dal
dataset/dal/iCalibri_17 size4.jpg,dal
dataset/dal/iCalibri_18 size0.jpg,dal
dataset/dal/iCalibri_18 size1.jpg,dal
dataset/dal/iCalibri_18 size2.jpg,dal
dataset/dal/iCalibri_18 size60.jpg,dal
dataset/dal/iCalibri_19 size0.jpg,dal
dataset/dal/iCalibri_19 size57.jpg,dal
dataset/dal/iCalibri_20 size51.jpg,dal
dataset/dal/iCalibri_20 size52.jpg,dal
dataset/dal/iCalibri_20 size53.jpg,dal
dataset/dal/iCalibri_20 size54.jpg,dal
dataset/dal/iCalibri_21 size48.jpg,dal
dataset/dal/iCalibri_21 size49.jpg,dal
dataset/dal/iCalibri_21 size50.jpg,dal
dataset/dal/iCalibri_21 size51.jpg,dal
dataset/dal/iCalibri_22 size46.jpg,dal
dataset/dal/iCalibri_22 size47.jpg,dal
dataset/dal/iCalibri_22 size48.jpg,dal
dataset/dal/iCalibri_22 size49.jpg,dal
dataset/dal/iCalibri_23 size43.jpg,dal
dataset/dal/iCalibri_23 size44.jpg,dal
dataset/dal/iCalibri_23 size45.jpg,dal
dataset/dal/iCalibri_23 size46.jpg,dal
dataset/dal/iCalibri_24 size41.jpg,dal
dataset/dal/iCalibri_24 size42.jpg,dal
dataset/dal/iCalibri_24 size43.jpg,dal
dataset/dal/iCalibri_24 size44.jpg,dal
dataset/dal/iCalibri_25 size38.jpg,dal
dataset/dal/iCalibri_25 size39.jpg,dal
dataset/dal/iCalibri_25 size40.jpg,dal
dataset/dal/iCalibri_25 size41.jpg,dal
dataset/dal/iCalibri_26 size35.jpg,dal
dataset/dal/iCalibri_26 size36.jpg,dal
dataset/dal/iCalibri_26 size37.jpg,dal
dataset/dal/iCalibri_26 size38.jpg,dal
dataset/dal/iCalibri_27 size35.jpg,dal
dataset/dal/iCalibri_27 size36.jpg,dal
dataset/dal/iCalibri_27 size37.jpg,dal
dataset/dal/iCalibri_27 size38.jpg,dal
dataset/dal/iCalibri_28 size32.jpg,dal
dataset/dal/iCalibri_28 size33.jpg,dal
dataset/dal/iCalibri_28 size34.jpg,dal
dataset/dal/iCalibri_28 size35.jpg,dal
dataset/dal/iCalibri_29 size29.jpg,dal
dataset/dal/iCalibri_29 size30.jpg,dal
dataset/dal/iCalibri_29 size31.jpg,dal
dataset/dal/iCalibri_29 size32.jpg,dal
dataset/dal/iCalibri_30 size28.jpg,dal
dataset/dal/iCalibri_30 size29.jpg,dal
dataset/dal/iCalibri_30 size30.jpg,dal
dataset/dal/iCalibri_30 size31.jpg,dal
dataset/dal/iCalibri_31 size25.jpg,dal
dataset/dal/iCalibri_31 size26.jpg,dal
dataset/dal/iCalibri_31 size27.jpg,dal
dataset/dal/iCalibri_31 size28.jpg,dal
dataset/dal/iCalibri_32 size22.jpg,dal
dataset/dal/iCalibri_32 size23.jpg,dal
dataset/dal/iCalibri_32 size24.jpg,dal
dataset/dal/iCalibri_32 size25.jpg,dal
dataset/dal/iCalibri_33 size21.jpg,dal
dataset/dal/iCalibri_33 size22.jpg,dal
dataset/dal/iCalibri_33 size23.jpg,dal
dataset/dal/iCalibri_33 size24.jpg,dal
dataset/dal/iCalibri_34 size19.jpg,dal
dataset/dal/iCalibri_34 size20.jpg,dal
dataset/dal/iCalibri_34 size21.jpg,dal
dataset/dal/iCalibri_34 size22.jpg,dal
dataset/dal/iCalibri_35 size18.jpg,dal
dataset/dal/iCalibri_35 size19.jpg,dal
dataset/dal/iCalibri_35 size20.jpg,dal
dataset/dal/iCalibri_35 size21.jpg,dal
dataset/dal/iCalibri_36 size18.jpg,dal
dataset/dal/iCalibri_36 size19.jpg,dal
dataset/dal/iCalibri_36 size20.jpg,dal
dataset/dal/iCalibri_36 size48.jpg,dal
dataset/dal/iCalibri_37 size17.jpg,dal
dataset/dal/iCalibri_37 size45.jpg,dal
dataset/dal/iCalibri_37 size46.jpg,dal
dataset/dal/iCalibri_37 size47.jpg,dal
dataset/dal/iCalibri_38 size17.jpg,dal
dataset/dal/iCalibri_38 size45.jpg,dal
dataset/dal/iCalibri_38 size46.jpg,dal
dataset/dal/iCalibri_38 size47.jpg,dal
dataset/dal/iCalibri_39 size43.jpg,dal
dataset/dal/iCalibri_39 size44.jpg,dal
dataset/dal/iCalibri_39 size45.jpg,dal
dataset/dal/iCalibri_39 size46.jpg,dal
dataset/dal/iCalibri_40 size40.jpg,dal
dataset/dal/iCalibri_40 size41.jpg,dal
dataset/dal/iCalibri_40 size42.jpg,dal
dataset/dal/iCalibri_40 size43.jpg,dal
dataset/dal/z0iAndalus_19 size.jpg,dal
dataset/dal/z0iAndalus_20 size.jpg,dal
dataset/dal/z0Typesetting_21 size.jpg,dal
dataset/dal/z0Typesetting_22 size.jpg,dal
dataset/dal/z0Typesetting_23 size.jpg,dal
dataset/dal/z10iAndalus_15 size.jpg,dal
dataset/dal/z10Typesetting_17 size.jpg,dal
dataset/dal/z11iAndalus_14 size.jpg,dal
dataset/dal/z11iAndalus_15 size.jpg,dal
dataset/dal/z11Typesetting_17 size.jpg,dal
dataset/dal/z12iAndalus_14 size.jpg,dal
dataset/dal/z12Typesetting_16 size.jpg,dal
dataset/dal/z12Typesetting_17 size.jpg,dal
dataset/dal/z13iAndalus_14 size.jpg,dal
dataset/dal/z13Typesetting_16 size.jpg,dal
dataset/dal/z14iAndalus_14 size.jpg,dal
dataset/dal/z14Typesetting_15 size.jpg,dal
dataset/dal/z14Typesetting_16 size.jpg,dal
dataset/dal/z15Typesetting_15 size.jpg,dal
dataset/dal/z15Typesetting_16 size.jpg,dal
dataset/dal/z16Typesetting_15 size.jpg,dal
dataset/dal/z17iAndalus_36 size.jpg,dal
dataset/dal/z17Typesetting_14 size.jpg,dal
dataset/dal/z17Typesetting_15 size.jpg,dal
dataset/dal/z17Unicode_27 size.jpg,dal
dataset/dal/z17Unicode_28 size.jpg,dal
dataset/dal/z17Unicode_29 size.jpg,dal
dataset/dal/z18iAndalus_36 size.jpg,dal
dataset/dal/z18Typesetting_14 size.jpg,dal
dataset/dal/z18Unicode_26 size.jpg,dal
dataset/dal/z18Unicode_27 size.jpg,dal
dataset/dal/z18Unicode_28 size.jpg,dal
dataset/dal/z19iAndalus_35 size.jpg,dal
dataset/dal/z19iAndalus_36 size.jpg,dal
dataset/dal/z19Typesetting_14 size.jpg,dal
dataset/dal/z19Unicode_26 size.jpg,dal
dataset/dal/z1iAndalus_18 size.jpg,dal
dataset/dal/z1iAndalus_19 size.jpg,dal
dataset/dal/z1iAndalus_20 size.jpg,dal
dataset/dal/z1Typesetting_13 size.jpg,dal
dataset/dal/z1Typesetting_21 size.jpg,dal
dataset/dal/z1Typesetting_22 size.jpg,dal
dataset/dal/z1Unicode_13 size.jpg,dal
dataset/dal/z1Unicode_14 size.jpg,dal
dataset/dal/z20iAndalus_35 size.jpg,dal
dataset/dal/z20iAndalus_36 size.jpg,dal
dataset/dal/z20Typesetting_13 size.jpg,dal
dataset/dal/z20Typesetting_14 size.jpg,dal
dataset/dal/z20Unicode_26 size.jpg,dal
dataset/dal/z21Typesetting_13 size.jpg,dal
dataset/dal/z21Typesetting_40 size.jpg,dal
dataset/dal/z21Unicode_25 size.jpg,dal
dataset/dal/z21Unicode_26 size.jpg,dal
dataset/dal/z22iAndalus_33 size.jpg,dal
dataset/dal/z22iAndalus_34 size.jpg,dal
dataset/dal/z22iAndalus_35 size.jpg,dal
dataset/dal/z22Typesetting_13 size.jpg,dal
dataset/dal/z22Typesetting_38 size.jpg,dal
dataset/dal/z22Typesetting_39 size.jpg,dal
dataset/dal/z22Typesetting_40 size.jpg,dal
dataset/dal/z22Unicode_25 size.jpg,dal
